state,x,y
Andhra Pradesh,-125,-226
Arunachal Pradesh,294,173
Assam,239,117
Bihar,70,90
Chhattisgarh,-37,-32
Goa,-245,-213
Gujarat,-312,12
Haryana,-186,206
Himachal Pradesh,-163,280
Jharkhand,47,29
Karnataka,-215,-230
Kerala,-184,-352
Madhya Pradesh,-139,10
Maharashtra,-215,-96
Manipur,307,62
Meghalaya,243,80
Mizoram,278,27
Nagaland,325,115
Odisha,39,-65
Punjab,-203,247
Rajasthan,-261,116
Sikkim,152,150
Tamil Nadu,-131,-345
Telangana,-111,-145
Tripura,243,34
Uttar Pradesh,-81,126
Uttarakhand,-102,225
West Bengal,123,13
